X13A1 X13A2 X13A3 IC39A1 IC39A2 IC39A3 genenames
2915 2464 2629 1214 1490 1590 P3H1
638 539 650 475 496 597 C1orf50
234 165 160 143 141 182 TMEM269
733 531 667 457 492 487 SVBP
250 233 253 239 244 268 ERMAP
96 104 124 82 89 79 ZNF691-DT
1015 856 898 529 597 567 ZNF691
29 17 20 40 68 70 NA
6012 5545 6417 11279 14985 16223 SLC2A1
55 21 37 83 113 111 ATP6V0CP4
572 444 481 325 342 353 SLC2A1-DT
190 111 138 76 119 117 NA
368 307 321 7 15 12 NA
215 163 146 25 40 32 CFAP144
1396 1397 1697 1203 1499 1512 EBNA1BP2
50 34 54 89 123 78 CFAP57
43 26 42 68 103 101 TIE1
51 43 66 20 18 20 CDC20-DT
4708 4548 4801 2762 3604 3891 CDC20
514 489 508 277 330 400 ELOVL1
121 110 96 73 117 108 NA
800 707 701 507 525 546 MED8
2091 1816 1823 2061 2453 2887 SZT2
15158 12238 13125 10227 13133 14974 PTPRF
1513 1364 1503 1450 1635 1751 KDM4A
270 237 254 249 286 275 NA
607 466 546 679 813 855 ST3GAL3
47 48 54 62 58 86 ST3GAL3-AS1
22 21 30 24 38 40 NA
37 25 22 40 55 43 NA
39 25 42 64 67 56 NA
9 16 14 27 57 40 ARTN
59 56 73 76 106 127 LOC101929609
1148 1086 978 1065 1427 1524 IPO13
403 415 450 385 527 519 DPH2
1598 1378 1442 946 1323 1317 ATP6V0B
2751 2504 2613 1775 2511 2546 B4GALT2
160 181 173 156 156 173 CCDC24
601 646 612 460 650 686 SLC6A9
117 100 85 33 70 61 LOC107984948
54 77 92 31 29 41 NA
1525 1269 1507 1175 1415 1527 DMAP1
2201 1874 2121 1482 2092 2204 ERI3
63 56 69 76 78 100 ERI3-IT1
3163 2582 2973 2279 2826 3023 RNF220
12 8 17 34 33 44 NA
247 234 226 170 270 281 TMEM53
273 180 236 161 197 211 ARMH1
46 66 54 16 25 21 RNU5F-1
134 101 103 59 98 94 RNU5D-1
6785 5932 6694 2849 3183 3274 KIF2C
54483 45383 53178 14608 17201 17691 RPS8
162 108 105 54 83 72 SNORD46
44 60 46 26 39 43 BEST4
370 299 331 285 406 472 PLK3
148 112 175 161 189 177 BTBD19
116 81 90 90 99 124 PTCH2
1073 965 1159 662 788 794 EIF2B3
903 826 725 662 849 939 HECTD3
1832 1656 1882 905 1143 1080 UROD
1236 1090 1139 1100 1305 1464 ZSWIM5
51 40 61 28 32 35 LINC01144
90 81 77 77 105 115 HPDL
169 134 143 106 99 125 MUTYH
392 355 449 306 364 407 TOE1
141 116 126 58 78 79 TESK2
174 153 145 77 103 104 CCDC163
762 629 680 532 644 684 MMACHC
3867 3515 4092 1751 2020 2286 PRDX1
4473 3618 4105 1747 2236 2353 AKR1A1
35 32 45 33 52 45 NA
21141 21068 24241 15968 17102 19140 NASP
105 101 94 99 147 152 CCDC17
6255 5096 5845 3429 3750 3906 GPBP1L1
92 53 70 58 58 74 NA
58 44 44 39 32 47 NA
182 123 139 81 114 116 RPL7AP16
1827 1553 1728 638 804 829 TMEM69
798 643 742 513 571 653 IPP
87 55 87 62 67 73 NA
3428 2842 3121 2893 3502 3909 MAST2
7339 6594 7144 5234 5875 6394 PIK3R3
74 64 63 71 100 94 NA
33 23 41 54 53 53 COX7BP4
3027 2317 2680 1808 2323 2508 POMGNT1
82 56 65 60 59 57 LURAP1
904 777 866 710 902 857 RAD54L
3689 3166 3502 2334 2909 3031 LRRC41
6233 5544 6683 2248 2791 2580 UQCRH
1062 983 967 880 1039 1109 NSUN4
238 180 172 172 227 251 FAAH
60 41 57 35 32 40 MKNK1-AS1
